Name main company,Name dessigner company,Distance,Latitude,Longitude
Takkle,No results,No results,No results,No results
GrubHub,No results,No results,No results,No results
Uversity,No results,No results,No results,No results
WildTangent,No results,No results,No results,No results
Gilt Groupe,No results,No results,40.745639,-73.980581
BeliefNet,No results,No results,40.738456,-73.988816
Smilebox,Desiron,190,47.673202,-122.119797
Bahu,Mohawk Digital,336,No results,No results
Hakia,D11 Den,375,No results,No results
Kosmix,No results,No results,No results,No results
Goodreads,No results,No results,No results,No results
Ribbit,No results,No results,No results,No results
Jobvite,No results,No results,37.792168,-122.401594
HubPages,No results,No results,No results,No results
ideeli,Gravitytank,431,40.75573,-73.990499
Streamezzo,No results,No results,No results,No results
Shoeboxed,Robert Graham Showroom,14,No results,No results
WeShow,No results,No results,40.753885,-73.97291
Qik,No results,No results,No results,No results
Flixwagon,W Magazine - Condé Nast,155,32.056361,34.760793
PlayFirst,No results,No results,37.792168,-122.401594
Libersy,hastudia (הסטודיה),161,52.373643,4.890441
RipCode,Gravitytank,203,No results,No results
Deem,Melangetrois - Magna Plaza,39,No results,No results
CDNetworks,No results,No results,No results,No results
KAYAK,No results,No results,No results,No results
Mobissimo,No results,No results,No results,No results
Acquia,No results,No results,No results,No results
REVShare,No results,No results,No results,No results
Chumby,No results,No results,No results,No results
GridPoint,No results,No results,No results,No results
UGOBE,No results,No results,No results,No results
HelioVolt,No results,No results,No results,No results
Etsy,No results,No results,No results,No results
Ausra,No results,No results,No results,No results
Kior,No results,No results,No results,No results
Causes,No results,No results,No results,No results
Nanosolar,No results,No results,No results,No results
Challenge Games,No results,No results,30.266758,-97.738994
Shozu,No results,No results,37.770338,-122.40468
EditGrid,Sputnik Creative,224,No results,No results
Fyreball,The San Francisco Fashion Collective,246,No results,No results
Tesla Motors,No results,No results,No results,No results
Bunchball,No results,No results,No results,No results
SimulScribe,No results,No results,40.762332,-73.967821
Delve Networks,No results,No results,47.601189,-122.329803
Hooja,Marc Phillips,115,No results,No results
TravelMuse,BrushCapades Seattle,326,No results,No results
LifeOnKey,No results,No results,No results,No results
Scrapblog,No results,No results,No results,No results
Blekko,No results,No results,No results,No results
Onaro,No results,No results,No results,No results
Meraki,No results,No results,No results,No results
ice,No results,No results,No results,No results
SugarCRM,No results,No results,No results,No results
DeepRockDrive,No results,No results,No results,No results
4Home,No results,No results,No results,No results
bluepulse,No results,No results,No results,No results
Jobfox,No results,No results,No results,No results
Outspark,No results,No results,37.773291,-122.422487
ARPU,No results,No results,No results,No results
Livemocha,Mm Clay,349,No results,No results
Joyent,No results,No results,No results,No results
8hands,No results,No results,No results,No results
PLYmedia,No results,No results,No results,No results
SuccessFactors,No results,No results,No results,No results
fabrik,No results,No results,No results,No results
Widgetbox,No results,No results,37.801323,-122.401058
TicketsNow,No results,No results,No results,No results
RazorGator,Wolff Olins,336,No results,No results
yoonew,No results,No results,40.756028,-73.987452
Oversee,No results,No results,34.048574,-118.258143
Zynga,Sprayground,84,37.769243,-122.404472
WAYN,Design Digital,365,No results,No results
DevZuz,Ann Sacks Gallery,440,No results,No results
Freepath,No results,No results,No results,No results
Jellyvision,No results,No results,No results,No results
ProQuo,No results,No results,No results,No results
Mumboe,No results,No results,No results,No results
Wellsphere,No results,No results,No results,No results
blinkbox music,No results,No results,No results,No results
Twingly,No results,No results,No results,No results
XING,No results,No results,53.555388,9.989642
Proximic,No results,No results,37.769243,-122.404472
Amobee,Design Forum,115,No results,No results
Visible Measures,Ann Sacks Gallery,315,No results,No results
CleverSet,No results,No results,47.606915,-122.338673
iVideosongs,No results,No results,No results,No results
Roost,GGLO Space At The Steps,119,37.789907,-122.405117
HealthCentral,No results,No results,No results,No results
XAware,17Feet,284,No results,No results
Endeca,No results,No results,No results,No results
Lijit Networks,No results,No results,No results,No results
WorldTV,No results,No results,No results,No results
clipsync,No results,No results,No results,No results
General Electric,No results,No results,No results,No results
Heroku,No results,No results,37.773291,-122.422487
Lookery,No results,No results,37.789907,-122.405117
comScore,Mm Clay,349,No results,No results
Tipjoy,17Feet,202,No results,No results
Sharetivity,No results,No results,No results,No results
First30Days,No results,No results,No results,No results
Seatwave,No results,No results,No results,No results
BreakingPoint Systems,No results,No results,No results,No results
VisualCV,No results,No results,No results,No results
EnterpriseDB,No results,No results,No results,No results
Craigslist,No results,No results,No results,No results
TalentSpring,No results,No results,No results,No results
Collarity,No results,No results,No results,No results
RocketOn,No results,No results,No results,No results
SpotXchange,No results,No results,No results,No results
Maven Networks,No results,No results,No results,No results
The Point,No results,No results,No results,No results
Limeade,No results,No results,No results,No results
Mixbook,No results,No results,No results,No results
Bungee Labs,No results,No results,No results,No results
stickK,No results,No results,40.744478,-73.983593
Bragster,No results,No results,No results,No results
Oddcast,Maurices Design Studio,54,40.752568,-73.989719
Qype,No results,No results,53.545778,9.98429
Escapia,488 Seventh Av,103,47.61319,-122.342637
GumGum,biike – die Ideenschmiede und Kommunikationsagentur,194,No results,No results
Snap Technologies,Modern Species,139,No results,No results
TwoFish,No results,No results,No results,No results
Three Rings,No results,No results,37.773291,-122.422487
ChoiceStream,No results,No results,No results,No results
Smalltown,Mm Clay,349,No results,No results
Shelfari,No results,No results,No results,No results
Flypaper,No results,No results,39.098403,-84.517084
Sparkplay Media,No results,No results,37.905112,-122.547943
TheLadders,Shop Leading Design Cincinnati,62,40.726095,-74.007015
Cellfire,J'Amy Tarr Fashion Design Studio,61,No results,No results
Netflix,Carl Hansen & Son,63,No results,No results
MOG,No results,No results,No results,No results
Social Gaming Network,No results,No results,No results,No results
Danger,No results,No results,No results,No results
Coverity,No results,No results,37.779264,-122.393019
Fortify Software,No results,No results,No results,No results
fotopedia,Butchershop Creative,369,No results,No results
Foneshow,No results,No results,43.656564,-70.253726
CoAdna Photonics,No results,No results,No results,No results
doubleTwist,Guven Designs,74,37.773291,-122.422487
Exalead,No results,No results,48.872096,2.329488
MediaTrust,Mm Clay,349,40.744478,-73.983593
JackPot Rewards,Vitra,455,No results,No results
GenieTown,Maurices Design Studio,95,No results,No results
AdoTube,No results,No results,40.753885,-73.97291
RiffTrax,No results,No results,No results,No results
P2P-Next,W Magazine - Condé Nast,301,No results,No results
FameCast,No results,No results,30.271838,-97.742553
Grooveshark,No results,No results,No results,No results
Direct Hit,AT&T — Consumer Digital Experiences,429,No results,No results
Redux,No results,No results,No results,No results
Evernote,No results,No results,No results,No results
Y Combinator,No results,No results,No results,No results
Raptr,No results,No results,No results,No results
HipLogic,No results,No results,No results,No results
Intuit,No results,No results,No results,No results
GoldSpot Media,No results,No results,No results,No results
Ad Infuse,No results,No results,37.792168,-122.401594
Inform Technologies,No results,No results,40.744478,-73.983593
iOpener,Gravitytank,306,No results,No results
EVO Media Group,Maurices Design Studio,41,47.61319,-122.342637
Covario,No results,No results,No results,No results
SendMe,Modern Species,139,No results,No results
Kluster,No results,No results,40.72458,-73.98133
Blog Talk Radio,No results,No results,40.759498,-73.988855
Opera Software,Studiohouse,332,59.929399,10.754714
Tiny Pictures,Pulsar Studio,342,37.781417,-122.407627
MessageOne,Anorak,126,No results,No results
Flurry,The Factory,70,37.780609,-122.393385
Issuu,No results,No results,No results,No results
Howcast,Studio San Francisco - Ubisoft,268,No results,No results
SugarSync,No results,No results,No results,No results
ePals,No results,No results,No results,No results
BillShrink,No results,No results,No results,No results
Teneros,No results,No results,No results,No results
Outbrain,No results,No results,40.759498,-73.988855
DivX,No results,No results,No results,No results
Evri,Pulsar Studio,342,No results,No results
Kazeon,No results,No results,No results,No results
Mochila,No results,No results,No results,No results
Yodlee,No results,No results,No results,No results
MoFuse,No results,No results,No results,No results
OLX,No results,No results,No results,No results
Collactive,No results,No results,No results,No results
XO Group,No results,No results,40.721102,-74.000182
ModiFace,No results,No results,No results,No results
Bleacher Report,Night Owls,47,37.779264,-122.393019
Right Media,No results,No results,40.745875,-73.983822
Central Desktop,Butchershop Creative,403,No results,No results
SafeNet,Electracraft Studio,116,No results,No results
Ingrian Networks,No results,No results,No results,No results
Mzinga,No results,No results,No results,No results
Phreesia,No results,No results,40.738456,-73.988816
Boonty,No results,No results,40.718698,-74.00131
