Name main company,Basketball stadium,Distance,Latitude,Longitude
ideeli,Madison Square Garden,638,40.750775,-73.994148
RazorGator,Paulley Pavillon,2630,34.070903,-118.445082
Roost,Chase Center Stadium,2687,37.767935,-122.387335
Oddcast,Madison Square Garden,460,40.750775,-73.994148
Escapia,Wilkinson-Gilligan Gymnasium,8386,47.689423,-122.336106
GumGum,STAPLES Center,2410,34.043101,-118.267071
Snap Technologies,Rose Bowl,2181,34.161332,-118.167609
TheLadders,Madison Square Garden,2961,40.750775,-73.994148
fotopedia,Gymnase cange,3659,48.833584,2.315533
doubleTwist,Chase Center Stadium,2904,37.767935,-122.387335
MediaTrust,Madison Square Garden,1109,40.750775,-73.994148
EVO Media Group,Wilkinson-Gilligan Gymnasium,8386,47.689423,-122.336106
SendMe,Chase Center Stadium,2326,37.767935,-122.387335
Tiny Pictures,Chase Center Stadium,2247,37.767935,-122.387335
Evri,Wilkinson-Gilligan Gymnasium,7667,47.689423,-122.336106
Sportgenic,Chase Center Stadium,2778,37.767935,-122.387335
crowdSPRING,Chicago Bulls Front Office,1451,41.88106,-87.673481
99designs,Chase Center Stadium,3283,37.767935,-122.387335
PacketFront,Råstaparkhallen,6543,59.376123,17.986412
Skimlinks,London Stadium,5015,No results,No results
PI Corporation,No results,No results,47.689423,-122.336106
The FeedRoom,Wilkinson-Gilligan Gymnasium,9656,40.750775,-73.994148
Giant Realm,Madison Square Garden,3250,40.750775,-73.994148
Next New Networks,Madison Square Garden,1120,40.750775,-73.994148
Monitor110,Madison Square Garden,1136,40.750775,-73.994148
iovation,Madison Square Garden,2002,45.53171,-122.66734
Spongecell,Section 304,1202,37.767935,-122.387335
Austhink Software,Chase Center Stadium,1397,-37.733224,144.977077
MADS,Coburg Basketball Stadium,8995,52.290268,4.851903
RichRelevance,De Goudsmithal,8667,37.767935,-122.387335
Comcast,Chase Center Stadium,3098,39.901129,-75.171944
GitHub,Super Box 1,5747,37.767935,-122.387335
VideoClix,Chase Center Stadium,2904,49.276611,-123.112151
Salesconx,BC Place,939,40.750775,-73.994148
Wayfair,Madison Square Garden,1207,42.366273,-71.060351
UserVoice,Coca Cola Suite,2603,36.9683,-122.023002
Modern Feed,Kaiser Permanente Arena,782,34.043101,-118.267071
Retail Convergence,STAPLES Center,8497,42.366273,-71.060351
OVGuide,Coca Cola Suite,913,34.043101,-118.267071
OleOle,STAPLES Center,2410,34.070903,-118.445082
TerraPass,Paulley Pavillon,3310,37.767935,-122.387335
Transpera,Chase Center Stadium,2359,37.767935,-122.387335
Aruspex,Chase Center Stadium,2522,37.767935,-122.387335
Epic Advertising,Chase Center Stadium,2799,40.750775,-73.994148
Practice Fusion,Madison Square Garden,470,37.767935,-122.387335
Bambuser,Chase Center Stadium,2357,59.376123,17.986412
WideOrbit,Råstaparkhallen,6543,37.767935,-122.387335
Jibe Mobile,Chase Center Stadium,2409,37.434572,-122.161041
Blueprint Software Systems,Stanford Stadium,6198,43.643485,-79.379209
Photobucket,Scotiabank Arena,859,47.689423,-122.336106
Flat World Knowledge,Wilkinson-Gilligan Gymnasium,9725,41.020295,-73.870278
ON24,Mercy Baseball Field,9060,37.767935,-122.387335
Streetline,Chase Center Stadium,2223,37.767935,-122.387335
muzu tv,Chase Center Stadium,2515,53.292448,-6.334336
